Aika;c/kWh
28.3.2025 0:00;1,03
28.3.2025 1:00;0,98
28.3.2025 2:00;0,88
28.3.2025 3:00;0,76
28.3.2025 4:00;0,76
28.3.2025 5:00;1,21
28.3.2025 6:00;1,77
28.3.2025 7:00;2
28.3.2025 8:00;2,12
28.3.2025 9:00;2,19
28.3.2025 10:00;2,03
28.3.2025 11:00;1,46
28.3.2025 12:00;0,76
28.3.2025 13:00;0,6
28.3.2025 14:00;0,6
28.3.2025 15:00;0,6
28.3.2025 16:00;0,6
28.3.2025 17:00;0,68
28.3.2025 18:00;0,75
28.3.2025 19:00;0,76
28.3.2025 20:00;0,65
28.3.2025 21:00;0,6
28.3.2025 22:00;0,6
28.3.2025 23:00;0,6
29.3.2025 0:00;0,6
29.3.2025 1:00;0,6
29.3.2025 2:00;0,6
29.3.2025 3:00;0,6
29.3.2025 4:00;0,6
29.3.2025 5:00;0,6
29.3.2025 6:00;0,6
29.3.2025 7:00;0,71
29.3.2025 8:00;0,76
29.3.2025 9:00;0,84
29.3.2025 10:00;0,76
29.3.2025 11:00;0,6
29.3.2025 12:00;0,6
29.3.2025 13:00;0,6
29.3.2025 14:00;0,6
29.3.2025 15:00;0,69
29.3.2025 16:00;0,93
29.3.2025 17:00;0,98
29.3.2025 18:00;1,03
29.3.2025 19:00;1,09
29.3.2025 20:00;1,08
29.3.2025 21:00;1,08
29.3.2025 22:00;1,1
29.3.2025 23:00;1,13
30.3.2025 0:00;1,2
30.3.2025 1:00;1,35
30.3.2025 2:00;1,47
30.3.2025 4:00;1,2
30.3.2025 5:00;1,09
30.3.2025 6:00;1,09
30.3.2025 7:00;1,08
30.3.2025 8:00;1,09
30.3.2025 9:00;1,88
30.3.2025 10:00;4,99
30.3.2025 11:00;8,3
30.3.2025 12:00;8,09
30.3.2025 13:00;6,03
30.3.2025 14:00;7,52
30.3.2025 15:00;13,14
30.3.2025 16:00;11,52
30.3.2025 17:00;14
30.3.2025 18:00;16,89
30.3.2025 19:00;21,68
30.3.2025 20:00;20,44
30.3.2025 21:00;11,45
30.3.2025 22:00;12,1
30.3.2025 23:00;9,52
31.3.2025 0:00;4,99
31.3.2025 1:00;11,17
31.3.2025 2:00;10,9
31.3.2025 3:00;6
31.3.2025 4:00;5,81
31.3.2025 5:00;8,13
31.3.2025 6:00;17,2
31.3.2025 7:00;21,67
31.3.2025 8:00;25,7
31.3.2025 9:00;34,36
31.3.2025 10:00;23,03
31.3.2025 11:00;18,77
31.3.2025 12:00;23,62
31.3.2025 13:00;16,68
31.3.2025 14:00;13,38
31.3.2025 15:00;17,59
31.3.2025 16:00;13,3
31.3.2025 17:00;16,12
31.3.2025 18:00;17,23
31.3.2025 19:00;14,52
31.3.2025 20:00;14,1
31.3.2025 21:00;13,23
31.3.2025 22:00;10,42
31.3.2025 23:00;14,42
1.4.2025 0:00;8,26
1.4.2025 1:00;4,99
1.4.2025 2:00;5,27
1.4.2025 3:00;5
1.4.2025 4:00;4,99
1.4.2025 5:00;4,37
1.4.2025 6:00;4,98
1.4.2025 7:00;4,73
1.4.2025 8:00;5,43
1.4.2025 9:00;6,24
1.4.2025 10:00;5,98
1.4.2025 11:00;6,01
1.4.2025 12:00;4,5
1.4.2025 13:00;1,8
1.4.2025 14:00;1,66
1.4.2025 15:00;1,39
1.4.2025 16:00;2
1.4.2025 17:00;2,3
1.4.2025 18:00;3,11
1.4.2025 19:00;2,23
1.4.2025 20:00;0,93
1.4.2025 21:00;0,84
1.4.2025 22:00;0,61
1.4.2025 23:00;0,6
2.4.2025 0:00;0,55
2.4.2025 1:00;0,36
2.4.2025 2:00;0,31
2.4.2025 3:00;0,3
2.4.2025 4:00;0,34
2.4.2025 5:00;0,35
2.4.2025 6:00;0,5
2.4.2025 7:00;0,6
2.4.2025 8:00;0,62
2.4.2025 9:00;0,8
2.4.2025 10:00;0,86
2.4.2025 11:00;0,96
2.4.2025 12:00;0,75
2.4.2025 13:00;0,59
2.4.2025 14:00;0,55
2.4.2025 15:00;0,56
2.4.2025 16:00;0,59
2.4.2025 17:00;0,88
2.4.2025 18:00;1,49
2.4.2025 19:00;1,03
2.4.2025 20:00;1,05
2.4.2025 21:00;1
2.4.2025 22:00;1
2.4.2025 23:00;0,95
